,lower_bound,upper_bound,null_hypothesis_holds
Unnamed: 0,0.0,0.0,True
q_flow_station_wait_time_avg,-0.0461543126580198,0.03696452264782577,True
q_flow_station_queue_length_avg,-0.004942537717271904,0.004817119725440562,True
q_flow_station_busy_avg,-0.003953840131671161,0.006777159460511206,True
secretary_station_wait_time_avg,-0.3131722760667851,0.5222201700092604,True
secretary_station_queue_length_avg,-0.03759284928049858,0.06643972443334586,True
secretary_station_busy_avg,-0.015697918627002413,0.034267605608028065,True
general_nurse_station_wait_time_avg,-1.1222064420574611,1.2480724484204648,True
general_nurse_station_queue_length_avg,-0.10718547158795791,0.11824424875446954,True
general_nurse_station_busy_avg,-0.08422989921963928,0.09237038892873767,True
transplant_nurse_station_wait_time_avg,-1.9934796192840767,5.469166812880809,True
transplant_nurse_station_queue_length_avg,-0.044587499137343625,0.08192138186608326,True
transplant_nurse_station_busy_avg,-0.056605356268062096,0.04085992920277137,True
leukemia_doctor_1_wait_time_avg,-3.5234851921086943,20.977080795232602,True
leukemia_doctor_1_queue_length_avg,-0.21517074522809115,0.46910759106770866,True
leukemia_doctor_1_busy_avg,-0.030393197319236058,0.0470638496506029,True
leukemia_doctor_2_wait_time_avg,-11.614089520405866,6.5376039260276935,True
leukemia_doctor_2_queue_length_avg,-0.20261498558843932,0.17848519298567828,True
leukemia_doctor_2_busy_avg,-0.04874923172066162,0.009365270964158168,True
transplant_doctor_1_wait_time_avg,-20.91658295619966,3.46939533281658,True
transplant_doctor_1_queue_length_avg,-0.5900640636046997,0.22283904864590803,True
transplant_doctor_1_busy_avg,-0.04905253880821615,0.0277087159463862,True
transplant_doctor_2_wait_time_avg,-13.644653403574907,11.377940791150476,True
transplant_doctor_2_queue_length_avg,-0.4883566250750489,0.48128150414245136,True
transplant_doctor_2_busy_avg,-0.01973163919266186,0.0400602253160293,True
transplant_doctor_3_wait_time_avg,-2.6873507478400356,20.70518401164076,True
transplant_doctor_3_queue_length_avg,-0.10992606982881759,0.8522386547329182,True
transplant_doctor_3_busy_avg,-0.006581954482221701,0.05873135085198498,True
other_patients_total_processing_time_avg,-7.032469804663885,-0.9266844059960526,False
leukemia_doctor_1_complex_patients_total_processing_time_avg,-17.920747863676475,9.276721154712588,True
leukemia_doctor_1_regular_patients_total_processing_time_avg,-21.309654877013468,11.563074185426505,True
leukemia_doctor_2_complex_patients_total_processing_time_avg,-21.165734505453507,9.830132955918243,True
leukemia_doctor_2_regular_patients_total_processing_time_avg,-20.388735279755842,3.9452535891916423,True
transplant_doctor_1_complex_patients_total_processing_time_avg,-9.00701454017113,23.359249616095692,True
transplant_doctor_1_regular_patients_total_processing_time_avg,-17.143083937497252,8.437401932923725,True
transplant_doctor_2_complex_patients_total_processing_time_avg,-20.23717784210058,10.881394413260738,True
transplant_doctor_2_regular_patients_total_processing_time_avg,-12.626775837703395,12.814933741465858,True
transplant_doctor_3_complex_patients_total_processing_time_avg,-5.008122617378102,20.502989786394163,True
transplant_doctor_3_regular_patients_total_processing_time_avg,-3.892546156940372,19.17525026346074,True
leukemia_doctor_1_scheduled_vs_actual_time_diff_avg,-4.342270393430741,19.39786547386483,True
leukemia_doctor_2_scheduled_vs_actual_time_diff_avg,-12.386309480160088,7.247707656101804,True
transplant_doctor_1_scheduled_vs_actual_time_diff_avg,-15.9085492885938,7.3105858473488325,True
transplant_doctor_2_scheduled_vs_actual_time_diff_avg,-10.833654151563676,11.79924002152339,True
transplant_doctor_3_scheduled_vs_actual_time_diff_avg,-2.903477811146433,18.429533047660318,True
general_nurse_station_scheduled_vs_actual_time_diff_avg,-3.521903464455576,-0.8037793344029986,False
transplant_nurse_station_scheduled_vs_actual_time_diff_avg,-2.8213742997706444,5.585165721453993,True
